,0
0,11206
1,10033
2,111354
3,11212
4,11372
5,11374
6,11373
7,11249
8,10035
9,11216
10,10026
11,10470
12,10029
13,11201-1832
14,10040
15,10039
16,10027
17,10031
18,10035
19,11215
20,11103
21,11201
22,11101
23,10040
24,11377
25,10033
26,11415
27,11218
28,11221
29,11211
30,11249
31,111354
32,10472
33,10029
34,11104
35,10452
36,10458
37,11201
38,11375
39,11375
40,11206
41,11249
42,10027
43,11101
44,10461
45,11249
46,11374-2756
47,10030
48,11222
49,10035
50,11231
51,11201-1832
52,10029
53,11373
54,11222
55,10039
56,11102
57,11435
58,10035
59,10035
60,11104
61,11372
62,10029
63,10027
64,10027
65,11372
66,11211
67,10128
68,11101
69,11375
70,11375
71,11211
72,11206
73,11249
74,11217
75,11415
76,11222
77,10468
78,10034
79,11435
80,11231
81,11372
82,10040
83,10035
84,10026
85,11217
86,10115
87,11211
88,11103
89,10029
90,11237
91,10128
92,111354
93,10027
94,11101
95,11249
96,11217
97,11372
98,11201
99,11215
100,11101
101,10029
102,10039
103,10458
104,11222
105,10031
106,10453
107,11105
108,11435
109,111354
110,10030
111,10031
112,10027
113,10458
114,11211
115,10031
116,11106
117,11216
118,11102
119,11208
120,10035
121,11221
122,11215
123,11206
124,11201-1832
125,10115
126,10027
127,10037
128,10029
129,10029
130,11377
131,11201
132,11101
133,10453
134,10454
135,11231
136,11372
137,11201
138,11201-1832
139,11249
140,11238
141,11106
142,10029
143,11211
144,11249
145,10472
146,10470
147,11103
148,11211
149,11231
150,11373
151,10463
152,11105
153,11372
154,11103
155,11249
156,10458
157,11372
158,10039
159,10452
160,11201
161,10452
162,11201
163,10035
164,11102
165,11101
166,11102
167,10033
168,11211
169,11211
170,10129
171,11377
172,11373
173,10029
174,11211
175,11216
176,11211
177,10453
178,11368
179,11102
180,10029-6408
181,11205
182,10031
183,10039
184,11205
185,11372
186,10029
187,10027
188,10459
189,11201-1832
190,11231
191,11211
192,11249
193,11238
194,11373
195,11375
196,10026
197,11103
198,11222
199,11211
200,10039
201,10027
202,11201
203,11372
204,11215
205,11101
206,11221
207,11377
208,11372
209,10129
210,10462
211,10461
212,10129
213,11372
214,11211
215,10115
216,10033
217,11249
218,11103
219,10033
220,10468
221,10026
222,11106
223,11205
224,11211
225,10025
226,11372
227,10456
228,11249
229,10027
230,10027
231,10031
232,10029
233,11218
234,11205
235,11201
236,11215
237,11222
238,10128
239,11249
240,11222
241,11102
242,11217
243,11222
244,11103
245,10033
246,11201
247,10040
248,11249
249,10037
250,11235
251,11222
252,10037
253,11103
254,10035
255,11373
256,11377
257,10027
258,10040
259,11109
260,11205
261,11222
262,11213
263,11205
264,10040
265,11375
266,11249
267,10129
268,11373
269,10463
270,11222
271,11203
272,11103
273,11222
274,10035-3501
275,10452
276,11201
277,11201
278,11216
279,10456
280,10452
281,10027
282,11415
283,11201
284,10033
285,10029
286,11373
287,10030
288,11205
289,11213
290,11201
291,10128
292,10458
293,11372
294,11211
295,11249
296,11101
297,11249
298,10027-4840
299,10031
300,11206
301,11211
302,10129
303,11109
304,10031
305,10027
306,10035
307,10027
308,11211
309,11377
310,10026
311,11231
312,10468
313,11378
314,10468
315,11237
316,10029
317,11206
318,11377
319,10040
320,10025
321,10467
322,11238
323,11373
324,11370
325,10026
326,11102
327,11216
328,11103
329,10037
330,10026
331,11101
332,11231
333,11211
334,10040
335,11211
336,11231
337,11375
338,10030
339,11222
340,11221
341,10453
342,11215
343,10460
344,11211
345,10453
346,11375
347,10473
348,10468
349,11221
350,10031
351,11105
352,11373
353,11211
354,11101
355,10031
356,11375
357,10459
358,10458
359,11374-2756
360,10030
361,11377
362,10037
363,10037
364,11211
365,10029
366,11231
367,11370
368,11249
369,11211
370,11435
371,11372
372,10128
373,10035
374,11105
375,11249
376,10033
377,11206
378,10029
379,11231
380,11373
381,11233
382,11201
383,11207
384,11201
385,10035
386,11372
387,10129
388,11103
389,11217
390,10029
391,11207
392,10035
393,11217
394,11103
395,10037
396,10454
397,11207
398,11201
399,11373
400,11235
401,11211
402,11103
403,11375
404,10029
405,10029
406,11101
407,11217
408,11373
409,10461
410,10027
411,10469
412,11103
413,11201
414,10027
415,11211
416,11101
417,11249
418,11374
419,10035
420,11217
421,10034
422,11372
423,10029
424,10115
425,11249
426,10027
427,11201
428,11215
429,11373
430,10459
431,10027
432,11249
433,10035
434,10027
435,11211
436,10129
437,10031
438,11249
439,11372
440,10026
441,11215
442,11103
443,10460
444,10029
445,10025
446,11249
447,11249
448,10035-3501
449,10458
450,11249
451,10128
452,11217
453,10467
454,11206
455,10026
456,11216
457,10027
458,11216
459,11231
460,11372
461,11211
462,10029
463,10031
464,11238
465,11104
466,11217
467,11101
468,10029
469,11217
470,11217
471,10025
472,11201
473,11249
474,11373
475,11103
476,10029
477,11102
478,11216
479,10037
480,10467
481,11435
482,10026
483,10033
484,10461
485,10458
486,11215
487,11217
488,10027
489,10128
490,10026
491,10029
492,11375
493,10032
494,11101
495,11222
496,10026
497,10468
498,11211
499,10456
500,11215
501,11372
502,10027
503,10035
504,11233
505,11249
506,10031
507,11222
508,11217
509,11377
510,11221
511,10027
512,10035-3501
513,10040
514,11211
515,11373
516,11211
517,10468
518,11222
519,11106
520,11201
521,10457
522,11211
523,11372
524,11372
525,10027
526,10459
527,11377
528,11235
529,10452
530,11372
531,10029
532,10027
533,10455-1201
534,10029
535,11372
536,11205
537,11231
538,11103
539,10456
540,11372
541,10035-3501
542,10451
543,10029
544,10027
545,10040
546,10463
547,10031
548,11207
549,11211
550,10457
551,11231
552,11222
553,10035
554,11227
555,11373
556,11377
557,10033
558,11377
559,10030
560,10129
561,10129
562,10031
563,11372
564,11249
565,11201
566,11201-1832
567,10026
568,10027
569,10453
570,10027
571,11372
572,10128
573,111354
574,10033
575,10470
576,11218
577,10453
578,10035-3501
579,11249
580,11102
581,11373
582,11372
583,11249
584,10029
585,10032
586,10029
587,11354
588,10031
589,10453
590,10029
591,10451
592,11213
593,11207
594,11102
595,10029
596,11211
597,11369
598,10029
599,11231
600,11231
601,11217
602,10033
603,10032
604,11370
605,10457
606,10035
607,10027
608,11249
609,11211
610,10454
611,10029
612,11206
613,10458
614,10451:10455
615,11375
616,11211
617,11375
618,11201
619,11234
620,10128
621,10472
622,11378
623,10455
624,10026-2864
625,11372
626,10037
627,10458
628,11227
629,11217
630,10463
631,11375
632,11369
633,11102
634,10035
635,10030
636,11215
637,11211
638,10029
639,10027
640,10029
641,11105
642,10459
643,10032
644,10453
645,10027
646,11372
647,11105
648,11201-1832
649,11217
650,11211
651,11211
652,11216
653,11101
654,11373
655,11372
656,11103
657,11101
658,11102
659,11215
660,07632
661,11368
662,11375
663,11201
664,11249
665,11201
666,11211
667,11377
668,10031
669,10029
670,10452
671,11211
672,10026
673,10456
674,11106
675,11415
676,11201-1832
677,10027
678,11231
679,11372
680,10037:10454
681,11372
682,11233
683,11213
684,11215
685,10037
686,11101
687,11215
688,10027
689,11103
690,10462
691,11103
692,11370
693,11238
694,11368
695,10035
696,11375
697,11206
698,10461
699,11368
700,11373
701,11201-1832
702,11105
703,11205
704,10027
705,10025
706,11222
707,11205
708,11355
709,11415
710,11373
711,11102
712,10030
713,10032
714,10037
715,10035
716,10035
717,10039
718,11249
719,10029
720,11372
721,10459
722,11370
723,11205
724,11374
725,10025
726,10452
727,10472
728,10029
729,10027
730,10461
