,0
633,07311
634,11201
635,10016
636,10001
637,10018
638,10022
639,10022
640,10016
641,10280
642,11379
643,07114
644,10038
645,11217
646,10017
647,10011
648,11101
649,07470
650,10014
651,10036
652,10009
653,10021
654,10003
655,11201-1832
656,11201-1832
657,07024
658,07656
659,10014
660,10038
661,10282
662,10003
663,10014-3621
664,10011
665,10019
666,10001
667,10036
668,10036
669,10065
670,10018
671,10016
672,10019
673,10011
674,11430
675,10278
676,10007
677,10013
678,10022
679,11206
680,10011
681,10011
682,10012
683,10012
684,10013
685,10024
686,10013
687,10012
688,10012
689,10040
690,07302
691,10022
692,10022
693,11201
694,07030
695,07030
696,10075
697,10065
698,11222
699,10001
700,10022
701,10025
702,10009
703,10014
704,10012
705,11205
706,11217
707,10036
708,10019
709,10036
710,10003
711,10016
712,10017
713,10065
714,10037
715,10013
716,10017
717,10010
718,11216
719,10029
720,10014
721,10013
722,10010
723,10003
724,11231
725,10003
726,10022
727,10011
728,11430
729,11430
730,07030
731,07030
732,10035
733,10012
734,11368
735,10013
736,11215
737,10013
738,11205
739,10013
740,10014
741,10037
742,07030
743,07030
744,10013
745,07030
746,07030
747,10022
748,11231
749,11211
750,11227
751,10036
752,10007
753,10105
754,10002
755,10013
756,11214
757,10010
758,10012
759,10023
760,10013
761,10028
762,10019
763,10003
764,10019
765,10023-7692
766,10018
767,10007
768,10001
769,10014
770,10013
771,11226
772,11208
773,11217
774,10024
775,10007
776,10002
777,10022
778,10001
779,10025
780,10022
781,10001
782,11217
783,10019
784,10014-3621
785,10013
786,10003
787,10021
788,10023
789,10026
790,10013
791,10022
792,10003
793,10014
794,10012
795,10019
796,10003
797,10013
798,11238
799,11213
800,11201
801,10023
802,10036
803,10280
804,10014
805,10019
806,10012
807,10018
808,11430
809,10011
810,10021
811,07310
812,11371
813,10025
814,10012
815,11208
816,10003
817,10013
818,11201
819,10005
820,07106
821,11201
822,10011
823,07030
824,07030
825,10023
826,10027
827,10003
828,10027
829,10013
830,10019
831,10019
832,10009
833,10012
834,10014
835,10014
836,11237
837,11212
838,11215
839,10003
840,10019
841,10011
842,10036
843,10003
844,11231
845,10019
846,10019
847,07030
848,07030
849,10014
850,10013
851,10013
852,10037
853,10001
854,10003
855,11225
856,10017
857,10001
858,10019
859,10014
860,10012
861,10023-6588
862,11206
863,07504
864,11201
865,10007
866,11101
867,11211
868,10022
869,10012
870,10002
871,10022
872,10011
873,10012
874,10014
875,10010
876,10001-2062
877,10016
878,10035
879,10012
880,10004
881,07114
882,11238
883,10011
884,10009
885,07030
886,07030
887,10469
888,10002
889,10012
890,10021
891,07030
892,10016
893,10007
894,10014
895,10011
896,10012
897,10011
898,10282
899,10003
900,11206
901,10024
902,10019
903,11371
904,10119
905,10013
906,10014
907,10014
908,10012
909,10003
910,100014
911,10014
912,07073
913,10014
914,100014
915,10017
916,10020
917,10010
918,10069
919,10065
920,10012
921,10013
922,11211
923,10019
924,11206
925,10001
926,10002
927,10011
928,10019
929,10014
930,10014
931,10014
932,10016
933,10009
934,11222
935,10014
936,10004
937,10011
938,10019
939,10014
940,10014
941,10011
942,10019
943,10012
944,10016
945,10025
946,10011
947,10002
948,11249
949,10002
950,10011
951,10014
952,10003
953,10009
954,10019
955,10011
956,11430
957,11030
958,07047
959,10001
960,10013
961,11230
962,10014
963,11430
964,07310
965,10036
966,10018
967,11103
968,10022
969,10016
970,11216
971,11216
972,10023
973,10065
974,10014
975,10006
976,11430
977,10014
978,07030
979,10013
980,10002
981,10010
982,10014
983,10019
984,10019
985,10003
986,10023
987,06901
988,10003
989,11227
990,10001
991,11237
992,10036
993,10021
994,10035
995,10013
996,10017
997,10001
998,10009
999,10013
1000,10019
1001,10013
1002,10019
1003,10017
1004,10013
1005,10016
1006,11212
1007,10003
1008,11249
1009,10021
1010,07030
1011,10022
1012,10003
1013,10022
1014,10014
1015,10017
1016,10017
1017,10012
1018,10029
1019,11211
1020,10013
1021,10036
1022,07030
1023,10012
1024,10014
1025,10019
1026,10011
1027,10036
1028,10032
1029,10011
1030,10013
1031,10003
1032,11238
1033,07030
1034,10013
1035,07030
1036,11030
1037,10018
1038,10019
1039,10025
1040,11211
1041,11206
1042,10016
1043,10013
1044,07030
1045,07047
1046,10023
1047,11212
1048,10002
1049,10012
1050,10002
1051,10010
