,0
0,10009
1,10018
2,10013
3,10013
4,10025
5,10029
6,10018
7,10010
8,10003
9,10028
10,10013
11,11249
12,10002
13,10011
14,10016
15,10021
16,10011-6832
17,10119
18,
19,10006
20,10012
21,10002
22,10010
23,10009
24,10025
25,10111
26,10002
27,10280
28,10065
29,10018
30,10037
31,10035
32,10016
33,10003
34,10128
35,10019
36,10012
37,10001
38,10128
39,10012
40,10010
41,10002
42,10014
43,10028
44,10014
45,10023
46,10003
47,10036
48,10014
49,10024
50,10006
51,10012
52,10016
53,10075
54,10016
55,10019
56,10016
57,10019
58,11371
59,10001
60,10016
61,10001
62,10023
63,10011
64,10003
65,10065
66,10011
67,10011-6832
68,10003
69,10029
70,10019
71,10022
72,10011
73,10018
74,10036
75,10011-6832
76,10275
77,10022
78,10016
79,11371
80,10006
81,10065
82,10025
83,10014
84,10280
85,10018
86,10018
87,10012
88,10013
89,10022
90,10028
91,10001
92,10013
93,10003
94,10028
95,10018
96,10003
97,10002-1013
98,10075
99,10014
100,10016
101,10019
102,10003
103,10003
104,10036
105,10016
106,10003
107,10003
108,10023
109,10065
110,10016
111,10001
112,10013
113,10014
114,10012-3332
115,10023
116,10075
117,10014-3621
118,10002
119,10037
120,10018-4527
121,10158-3650
122,11371
123,10105
124,10019
125,10019
126,10035
127,10028
128,10014
129,10016
130,10003
131,10014
132,10065
133,11205
134,10014
135,10107
136,10003
137,10065
138,10014
139,10003
140,10010
141,10016
142,10024
143,10065
144,10017
145,10013
146,10019
147,10035
148,10016
149,10111
150,10128
151,10019
152,11369
153,10013
154,10017
155,10014
156,10021
157,10005
158,10019
159,10002
160,10023
161,10019
162,10012-3332
163,10011
164,11106
165,10001
166,10065
167,10025
168,10011
169,10022
170,10014-3621
171,10003
172,10025
173,10011
174,10012
175,10035
176,10001-2062
177,10001
178,10036
179,10017
180,10012
181,10003
182,10037
183,10023
184,10001
185,10001
186,10024
187,10029
188,10024
189,10001
190,10014
191,10022
192,10111
193,10128
194,10016
195,10019
196,10011
197,10075
198,10024
199,10023
200,11369
201,10023
202,10037
203,10019
204,10017
205,10013
206,10115
207,10017
208,10012
209,10022
210,10012
211,10153
212,10002-1013
213,10024
214,10025
215,10014
216,10018
217,10128
218,10016
219,10040
220,11430
221,10016
222,11369
223,10016
224,10004
225,10021
226,10017
227,10022
228,10009
229,10012
230,11211
231,10025
232,10155
233,10023-7692
234,10012
235,11354
236,11231
237,10023
238,10018
239,10036
240,10024
241,10028
242,10014
243,10035
244,10019
245,10021
246,10065
247,10027
248,10010
249,10003
250,10011
251,10044
252,10037
253,10016
254,10019
255,
256,10280
257,
258,10011
259,10017
260,10009
261,10115
262,
263,10028
264,10017
265,10001
266,10011
267,10019
268,10065
269,10009
270,10036
271,10014
272,10036
273,10128
274,10003
275,10023
276,10019
277,10011
278,10024
279,10011
280,10065
281,10023
282,10017
283,11231
284,10010
285,10023-7503
286,10021
287,10022
288,10012
289,10153
290,10019
291,10037
292,10065
293,10011
294,10019
295,10025-4403
296,10001
297,10037
298,10023
299,10107
300,10012-3332
301,10019
302,10014
303,10010
304,10016
305,10040
306,10023
307,10028
308,10003
309,11201
310,10016
311,10013
312,10022
313,10001
314,10014
315,10128
316,10019
317,10020-2402
318,10037
319,10017
320,10011
321,10019
322,10155
323,10001
324,10013
325,11211
326,10003
327,10018
328,11211
329,10003
330,11371
331,10014
332,10014
333,10023
334,10018
335,10010
336,10001
337,10119
338,10017
339,10037
340,10065
341,10014
342,10003
343,10010
344,10001-7604
345,10037
346,10016
347,10001
348,10025
349,10032
350,10023
351,10009
352,10119
353,11206
354,10025
355,11371
356,10128
357,10017
358,
359,11430
360,10037
361,10019
362,10003
363,10036
364,10010
365,10037
366,10016
367,10036
368,10011
369,10011
370,10128
371,10111
372,10022
373,10001
374,10012
375,10036
376,10028
377,10199
378,10036
379,10017
380,10012
381,10013
382,10017
383,10019
384,10016
385,10019
386,10023
387,11430
388,11371
389,
390,10003
391,10012-3332
392,10153
393,10014
394,10010
395,10062
396,10001
397,10111
398,10010
399,11418
400,10023
401,10011
402,10016
403,10019
404,10024
405,10036
406,10037
407,10003
408,10017
409,10011
410,10025
411,1002
412,10022
413,10003
414,10001-2062
415,10011-6832
416,11430
417,10010
418,10016
419,10035
420,10010
421,10021
422,10018
423,10016
424,10022
425,10024
426,10019
427,10155
428,10014
429,10023
430,11430
431,10153
432,10014
433,10019
434,10022
435,10001-2062
436,10005
437,11249
438,1002
439,10012
440,10019
441,10022
442,10001
443,10036
444,10014
445,10019
446,10014
447,10011
448,10023
449,10036
450,10036
451,10025
452,10011
453,10022
454,10119
455,10025
456,10031
457,10024
458,10001
459,10003
460,10025-4403
461,10036
462,10024
463,10001
464,10025
465,10022
466,10019
467,10009
468,10035
469,10014
470,10028
471,10028
472,10153
473,10023
474,10003
475,10010
476,10036
477,10023
478,10018
479,10012
480,10016
481,10035
482,10014
483,10022
484,10003
485,10075
486,10065
487,10011
488,10010
489,10024
490,10014
491,10024
492,10025
493,10016
494,10011
495,10025
496,10011
497,10037
498,11238
499,10014
500,10001
501,10021
502,10075
503,11101
504,10001
505,10010
506,10016
507,10010
508,10016
509,10022
510,10018
511,10021
512,10011
513,10009
514,10001-2062
515,10003
516,10009
517,10019
518,10022
519,10009
520,10021
521,11430
522,10022
523,10011
524,10065
525,100036
526,10018
527,
528,11101
529,10012
530,10016
531,10019
532,10011-6832
533,11436
534,10036
535,11104
536,11201
537,10153
538,10024
539,10003
540,10024
541,10021
542,10038
543,10036
544,10119
545,10019
546,10019
547,10023
548,10021
549,10014
550,10029
551,11371
552,10022
553,10003
554,11249
555,10016
556,10035
557,10022
558,10016
559,10023
560,10062
561,10282
562,10014
563,10035
564,10024
565,10018
566,10001
567,10003
568,10016
569,10016
570,10003
571,10036
572,10024
573,10018
574,10014
575,10036
576,11215
577,10010
578,10128
579,10025
580,10028
581,10024
582,10014
583,10009
584,10017
585,10039
586,10065
587,10009
588,10021
589,11215
590,11371
591,10014
592,10011
593,10153
594,10022
595,10128
596,10025
597,
598,10013
599,10019
600,10036
601,10001
602,10128
603,10011
604,10019
605,10014
606,10002
607,10014
608,10021
609,10013
610,10022
611,10036
612,10065
613,10001
614,10010
615,10017
616,10018
617,10019
618,10016
619,10022
620,10013
621,11430
622,10025
623,10028
624,10021
625,10036
626,10022
627,10075
628,10014
629,10001
630,10014
631,10010
632,10017
633,10009
634,10016
635,10017
636,10019
637,10002-1013
638,10012
639,10012
640,10013
641,10003
642,10019
643,11371
644,10005
645,10014
646,10128
647,10016
648,10021
649,10014
650,10002
651,10019
652,10011
653,10023
654,11369
655,10001
656,10019
657,10075
658,10001-2062
659,10028
660,10024
661,10014
662,10011
663,10025
664,10001
665,10280
666,10010
667,
668,10065
669,10065
670,10036
671,10128
672,10036
673,11249
674,10003
675,10023-6588
676,11201
677,10024
678,10016
679,10036
680,10028
681,10119
682,10024
683,10018
684,10001
685,10036
686,10021
687,10023
688,10016
689,10001
690,10022
691,10014
692,10153
693,10001
694,10001-2062
695,10017
696,10013
697,11201
698,10022
699,11215
700,10016
701,10019
702,10013
703,10018
704,10016
705,10019
706,10018
707,10022
708,10029
709,10022
710,11106
711,10016
712,10279
713,10282
714,10012
715,10001
716,10010
717,11215
718,10009
719,10023-7692
720,11201
721,10037
722,10022
723,10024
724,10022
725,10001
726,11106
727,10119
728,11104:11377
729,10017
730,10011
731,10075
732,10065
733,11369
734,10022
735,10128
736,11430
737,10024
738,10021
739,10017
740,11370
741,10003
742,10028
743,10036
744,10014
745,10019
746,10119
747,11106
748,11231
749,10024
750,10013
751,11371
752,10011
753,10023
754,10128
755,10018
756,10016
757,10037
758,10282
759,11109
760,10007
761,10001
762,10282
763,11371
764,10017
765,10028
766,10014
767,10027
768,10022
769,10037
770,10019
771,10119
772,10019
773,10019
774,10037
775,10009
776,10037
777,10003
778,10019
779,10036
780,10128
781,10012
782,10011
783,10022
784,10001
785,10036
786,10036
787,10010
788,10037
789,10001
790,10011
791,10065
792,10019
793,10018
794,10019
795,10018
796,10010
797,10036
798,10011
799,10280
800,11430
801,10022
802,10036
803,10021
804,10028
805,10025
806,10021
807,10009
808,10119
809,10017
810,10036
811,10013
812,10119
813,10013
814,11101
815,10075-0381
816,10009
817,10029
818,10065
819,10028
820,10021
821,11371
822,10035
823,11430
824,10022
825,10019
826,10128
827,10023
828,10065
829,10010
830,10011
831,10019
832,10012
833,10004
834,10003
835,10014
836,10111
837,10037
838,10019
839,10003
840,10014
841,10035
842,10019
843,10017
844,10003
845,10035
846,100014
847,10035
848,10012
849,10016
850,10025
851,10037
852,10017
853,10014
854,10022
855,10036
856,10019
857,10019
858,10016
859,10065
860,10023
861,10036
862,10023
863,10016
864,10065
865,10001
866,10012-3332
867,10018
868,10002
869,11371
870,10014
871,10028
872,10003
873,10016
874,10152
875,10013
876,10023
877,11238
878,10028
879,10014
880,10035
881,11211
882,10018
883,10024
884,10011
885,10062
886,10025
887,10128
888,10019
889,10002
890,10119
891,10011-6832
892,10016
893,10119
894,10021
895,10002
896,10028
897,10011
898,10001-2062
899,11231
900,10019
901,10025
902,10036
903,10022
904,10069
905,10014
906,10024
907,10065
908,10003
909,10014
910,10009
911,11371
912,10001
913,10003
914,11368
915,10017-6927
916,10003
917,10021
918,10003
919,10023-7692
920,10019
921,10010
922,10037
923,10009
924,10014
925,10017
926,10014
927,10011
928,10010
929,10036
930,10027
931,10011
932,10023-6588
933,1002
934,10025
935,10019
936,11430
937,10016
938,10019
939,10016
940,10009
941,10002
942,10012
943,10019
944,10025
945,10019
946,10016
947,10002-1013
948,10065
949,10022
950,10037
951,10018
952,11105
953,10065
954,10019
955,10025
956,10128
957,10024
958,10065
959,10014
960,10003
961,10014
962,10017-6927
963,10036
964,10009
965,10013
966,10002
967,10019
968,10119
969,10010
970,10153
971,10022
972,10019
973,10014
974,10012
975,10037
976,10010
977,10019
978,10017
979,10018
980,10003
981,10009
982,10002
983,10009
984,10002
985,10016
986,10014
987,10012-3332
988,10128
989,10065
990,10036
991,10023-7692
992,10003
993,100036
994,10016
995,10017
996,10021
997,10037
998,11373
999,10111
1000,10018
1001,10028
1002,10011
1003,10016
1004,10002
1005,10017
1006,10017
1007,11430
1008,10010
1009,10128
1010,10014
1011,10024
1012,100
1013,10022
1014,10009:10010
1015,10028
1016,10003
1017,10029
1018,10075-0381
1019,10016
1020,10001
1021,11238
1022,10128
1023,11369
1024,10075
1025,10023
1026,10282
1027,10023
1028,10001
1029,10016
1030,10022
1031,10022
1032,10036
1033,10011
1034,10017
1035,10003
1036,11208
1037,10028
1038,10021
1039,10003
1040,10019
1041,10037
1042,10014
1043,10037
1044,10017
1045,10002
1046,10038
1047,10016
1048,10013
1049,10003
1050,10019
1051,10012-3332
1052,10024
1053,10024
1054,10014
1055,10001
1056,10018
1057,10041
1058,10023
1059,10014
1060,10003
1061,10036
1062,10111
1063,10016
1064,10022
1065,10275
1066,10075-0381
1067,11430
1068,10019
1069,10023
1070,10016
1071,10009
1072,10014
1073,10038
1074,10110
1075,10001
1076,10003
1077,10036
1078,10011
1079,10036
1080,10002
1081,10119
1082,10003
1083,11221
1084,10003
1085,10028
1086,10037
1087,10025-4403
1088,10075
1089,10016
1090,10014
1091,10022
1092,10001
1093,11430
1094,10001
1095,10119
1096,10014
1097,10001
1098,10001
1099,10016
1100,10001
1101,11101
1102,10019
1103,10001-7604
1104,10021
1105,10065
1106,10028
1107,10018
1108,10021
1109,10012-3332
1110,10001
1111,10001
1112,10014-3621
1113,10026
1114,10019
1115,10036
1116,10010
1117,
1118,10003
1119,11211
1120,10019
1121,10005
1122,10016
1123,10011
1124,10007
1125,10017
1126,10021
1127,10001
1128,10110
1129,10012
1130,10002
1131,10014
1132,10014
1133,10001
1134,10013
1135,
1136,10016
1137,10016
1138,11217
1139,10005
1140,10024
1141,10019
1142,10036
1143,10019
1144,10001
1145,10111
1146,10037
1147,10001
1148,10019
1149,10009
1150,10011
1151,10002
1152,10037
1153,10023
1154,10011
1155,10028
1156,10017
1157,10017
1158,10019
1159,10022
1160,10012
1161,10011
1162,10075
1163,10023
1164,10011
1165,10019
1166,10019
1167,11221
1168,10023
1169,10278
1170,10022
1171,10001
1172,10002
1173,10128
1174,10003
1175,10037
1176,10106
1177,10022
1178,10018
1179,10021
1180,10017
1181,11430
1182,10019
1183,10009
1184,10011
1185,11369
1186,10028
1187,10036
1188,10013
1189,10022
1190,10024
1191,10018
1192,10022
1193,10025
1194,10024
1195,11371
1196,10004
1197,10025
1198,10012
1199,10001
1200,11371
1201,10065
1202,10003
1203,10111
1204,10003
1205,10018
1206,10019
1207,10011
1208,10028
1209,10010
1210,10037
1211,10035
1212,10027
1213,10028
1214,10019
1215,10012
1216,10014
1217,10001
1218,10017
1219,10014
1220,10019
1221,10022
1222,10009
1223,10022
1224,10019
1225,10019
1226,10037
1227,10282
1228,10024
1229,10011-6832
1230,10011
1231,10023
1232,10003
1233,10011
1234,10016
1235,10012
1236,10014
1237,10016
1238,1002
1239,10017
1240,10001
1241,10001
1242,10075
1243,10012
1244,10014
1245,10019
1246,10014
1247,10011
1248,10023-7692
1249,10012
1250,10065
1251,10014
1252,10016
1253,10119
1254,10019
1255,10022
1256,10019
1257,10003
1258,10017
1259,10014
1260,10119
1261,10036
1262,10001
1263,10036
1264,10013
1265,10021
1266,10024
1267,10025
1268,11211
1269,11371
1270,10119
1271,10199
1272,10019
1273,10119
1274,10002
1275,11249
1276,10014
1277,10024
1278,10017
1279,10075-0381
1280,10065
1281,10016
1282,10021
1283,10128
1284,10014
1285,11430
1286,10035
1287,10011
1288,10038
1289,10128
1290,11371
1291,10035
1292,10014
1293,10011
1294,10003
1295,10019
1296,11371
1297,11217
1298,10075
1299,10025
1300,10017
1301,10001
1302,10003
1303,10014
1304,11206
1305,10199
1306,10128
1307,10001
1308,10017
1309,10022
1310,10022
1311,10024
1312,10019
1313,10011
1314,10023
1315,10003
1316,10119
1317,11201
1318,10001
1319,11211
1320,10028
1321,10024
1322,10011
1323,10001-2062
1324,10011
1325,10014
1326,10019
1327,10019
1328,10002
1329,10036
1330,10003
1331,10002
1332,10017
1333,10017
1334,10010
1335,10001
1336,10128
1337,10016
1338,10017
1339,10018
1340,10128
1341,10019
1342,10017
1343,10009
1344,10016
1345,10019
1346,10153
1347,10121
1348,10019
1349,10024
1350,10009
1351,10011
1352,10022
1353,10037
1354,10019
1355,10065
1356,10014
1357,10001
1358,10036
1359,10001
1360,10017
1361,10019
1362,10009
1363,10019
1364,10065
1365,10009
1366,10019
1367,10003
1368,10012
1369,10001
1370,10010
1371,10003
1372,10019
1373,10021
1374,10119
1375,10018
1376,10001-7604
1377,10128
1378,10128
1379,10001
1380,10023
1381,10128
1382,11231
1383,10019
1384,10003
1385,10021
1386,10003
1387,10037
1388,10280
1389,10014
1390,10128
1391,10128
1392,10014
1393,10013
1394,10279
1395,10017
1396,10019
1397,10016
1398,10018
1399,10007
1400,10016
1401,10001
1402,10023-6588
1403,10002
1404,10019
1405,10003
1406,10023-6588
1407,10017
1408,10065
1409,10041
1410,10010
1411,10021
1412,10011
1413,10014
1414,10021
1415,10023-7692
1416,10107
1417,10036
1418,10010
1419,11371
1420,10153
