,0
625,11377
626,11215
627,10129
628,11102
629,10035
630,11232
631,11217
632,10453
633,10453
634,11354
635,10029
636,11369
637,11434
638,11212
639,10025
640,11102
641,11201
642,11373
643,11368
644,11377
645,10035
646,11373
647,10026
648,10027
649,10030
650,10027
651,10029
652,10129
653,11231
654,10035-3501
655,10029
656,11368:11377
657,10026
658,11415
659,11238
660,10456
661,11203
662,11211
663,10463
664,10457-2919
665,111354
666,11201
667,11235
668,10027
669,11201
670,10029
671,11101
672,11216
673,11418
674,10026
675,11249
676,10472
677,11372
678,10031
679,10026
680,11237
681,10030
682,11201-1832
683,11205
684,10029
685,11211
686,11211
687,10035-3501
688,10029
689,11217
690,10129
691,10039
692,10128
693,10035
694,10456
695,11372
696,10454
697,11227
698,11201
699,11432
700,11373
701,11231
702,11217
703,11415
704,10025
705,11213
706,111354
707,11238
708,11368
709,11249
710,11217
711,11215
712,11216
713,10129
714,10029
715,11372
716,11372
717,11217
718,10454
719,10115
720,10029
721,10026
722,10458
723,11249
724,11373
725,11374-2756
726,10034
727,11372
728,11231
729,11435
730,10463
731,11101
732,11373
733,11375
734,11217
735,11222
736,11201
737,10026
738,11101
739,11223
740,11206
741,11238
742,10451:10455
743,11103
744,11211
745,11101
746,10453
747,11368
748,10456
749,11211
750,11434
751,11201-1832
752,11102
753,10034
754,11435
755,11207
756,11375
757,11375
758,10037
759,11209
760,10034
761,10128
762,11217
763,11201
764,10468
765,10027
766,11101
767,10031
768,10452
769,11415
770,10029
771,11373
772,11208
773,10458
774,11373
775,11201
776,10029
777,10027
778,10033
779,11215
780,10035
781,11102
782,10035
783,11201
784,11372
785,11221
786,11205
787,11103
788,11102
789,11211
790,10031
791,11377
792,11235
793,10035-3501
794,11103
795,10030
796,10026
797,10029
798,11215
799,11106
800,11217
801,11216
802,11372
803,10027
804,11375
805,10027
806,10027
807,10032
808,11211
809,10035-3501
810,11215
811,10037
812,11222
813,10030
814,11217
815,11201
816,11375
817,10129
818,11201-1832
819,11109
820,11207
821,11354
822,11418
823,10027
824,11106
825,11222
826,11373
827,10031
828,10025
829,11206
830,11249
831,10032
832,10027
833,11104
834,11211
835,10029
836,11249
837,11206
838,11101
839,11211
840,11217
841,11103
842,11216
843,10039
844,10029
845,10027
846,11210
847,11373
848,11207
849,11238
850,10026
851,11102
852,11434
853,11368
854,11103
855,10451
856,11372
857,10027
858,10463
859,11249
860,11105
861,11227
862,11207
863,10452
864,10026
865,10029
866,10474
867,10027
868,10027
869,11205
870,11238
871,11372
872,10037
873,11211
874,111354
875,11373
876,11201
877,10472
878,11372
879,11375
880,11205
881,11377
882,11355
883,11106
884,11375
885,11374
886,11377
887,10029
888,11368
889,10034
890,10029
891,10460
892,11375
893,10031
894,10459
895,11249
896,11231
897,11238
898,11373
899,11211
900,10039
901,10031
902,10027
903,11373
904,11249
905,11101
906,10027
907,11211
908,11372
909,10029
910,11231
911,10452
912,11211
913,10029
914,10129
915,11205
916,11201-1832
917,10030
918,10027
919,11101
920,10044
921,10467
922,11201
923,11211
924,11106
925,10451
926,10456
927,11211
928,11222
929,10129
930,10026
931,10031
932,11104
933,11434
934,10031
935,10026
936,11370
937,11225
938,10025-4403
939,10129
940,11216
941,11201
942,11216
943,11377
944,11215
945,10029
946,11238
947,11109
948,11106
949,10455
950,11375
951,11205
952,10029
953,10026
954,10453
955,11249
956,11226
957,11201
958,11206
959,10025
960,10457
961,11209
962,11105
963,11201
964,10454
965,11106
966,11370
967,11103
968,11201
969,10029
970,11235
971,111354
972,11235
973,11109
974,11249
975,11201
976,11372
977,10035
978,11415
979,10452
980,10037
981,10031
982,11373
983,11101
984,10027
985,10467
986,10030
987,11201
988,10115
989,11232
990,11372
991,11222
992,11222
993,11222
994,11238
995,10033
996,11249
997,11105
998,111354
999,11205
1000,10453
1001,11211
1002,10451:10455
1003,11104
1004,11220
1005,11373
1006,10452
1007,11375
1008,11103
1009,10459
1010,10027
1011,10035
1012,10031
1013,10027
1014,11377
1015,11201
1016,11211
1017,11216
1018,11201
1019,10031
1020,11372
1021,10026
1022,11206
1023,10039
1024,10027
1025,11102
1026,11217
1027,11216
1028,10459
1029,11372
1030,11201
1031,11249
1032,10037
1033,10040
1034,10451
1035,11201
1036,10037
1037,11211
1038,10467
1039,10037
1040,10453
1041,10029
1042,10455
1043,11201
1044,10033
1045,11231
1046,10031
1047,11238
1048,10035
1049,11218
1050,11201
1051,11102
1052,11209
1053,10039
1054,10037
1055,11222
1056,10027
1057,11103
1058,10029
1059,10029
1060,10029
1061,11103
1062,11377
1063,11354
1064,11101
1065,10035-3501
1066,11217
1067,11103
1068,111354
