,0
622,10019
623,10025
624,10001
625,10001
626,10037
627,10016
628,10023
629,10023
630,10014
631,10001
632,10019
633,11213
634,10037
635,10040
636,10014
637,10022
638,10002-1013
639,10003
640,100014
641,10019
642,10019
643,10024
644,10003
645,10011
646,10036
647,10011
648,10016
649,10005
650,10024
651,10037
652,10282
653,10014
654,10011
655,10003
656,10016
657,10028
658,11211
659,10019
660,11430
661,10030
662,10028
663,10021
664,10021
665,10013
666,10010
667,10023
668,10001
669,10012
670,10036
671,10024
672,10003
673,10025
674,10036
675,11369
676,10012-3332
677,10001
678,10019
679,10017
680,10028
681,10011
682,10019
683,10128
684,11430
685,10019
686,10012
687,10019
688,10011
689,10278
690,10128
691,11222
692,10012
693,11211
694,10009
695,10003
696,10022
697,10119
698,10014
699,10024
700,10003
701,10111
702,10001
703,10017
704,10075
705,10019
706,10017
707,10037
708,10021
709,10037
710,10153
711,10022
712,10007
713,10119
714,10016
715,10010
716,10022
717,10022
718,10003
719,10107
720,10025
721,10128
722,10013
723,10001-7604
724,10021
725,10038
726,10012
727,10014
728,11371
729,10018
730,10030
731,10036
732,10023
733,10001
734,10021
735,10023
736,10035
737,10025
738,10019
739,10153
740,10001
741,10022
742,10032
743,11211
744,10119
745,10021
746,10037
747,10128
748,11430
749,10065
750,10065
751,10021
752,10014
753,10011
754,10036
755,10011
756,10036
757,10065
758,10010
759,10014
760,10021
761,10012
762,10037
763,11430
764,10019
765,10024
766,10019
767,10004
768,10001
769,10279
770,10025
771,11201-1832
772,10013
773,10075
774,10119
775,10016
776,10065
777,10041
778,10012
779,11369
780,10010
781,10012
782,10001
783,10002
784,10014
785,10025-4403
786,10036
787,10128
788,11430
789,10012
790,10169
791,10119
792,10022
793,10013
794,10128
795,10018
796,10003
797,11371
798,10010
799,10038
800,10012
801,10019
802,10014
803,11371
804,10004
805,10003
806,10028
807,10016
808,10017
809,10029
810,10014
811,10001
812,10013
813,10017
814,10003
815,10018
816,10029
817,10035
818,10014
819,10019
820,10001
821,10021
822,10016
823,10065
824,10003
825,11217
826,10019
827,10029
828,10069
829,10001
830,10014
831,10016
832,10010
833,10011
834,10023
835,10128
836,10036
837,10019
838,10019
839,10022
840,10023
841,10012
842,11215
843,10023
844,10014
845,10036
846,10016
847,10001-2062
848,10024
849,10024
850,10016
851,10001
852,10011
853,10075-0381
854,10025
855,10017
856,10027
857,10065
858,10028
859,10065
860,10023
861,10017
862,10035
863,10037
864,10036
865,10065
866,10019
867,10128
868,10128
869,10001-2062
870,10128
871,10032
872,10021
873,10024
874,10023-7692
875,10021
876,10011
877,10003
878,10002
879,10155
880,10009
881,10014
882,10012-3332
883,10036
884,10021
885,10001
886,10014
887,10037
888,10010
889,10002
890,10018
891,10028
892,10016
893,10014
894,10021
895,10018
896,10010
897,
898,10012-3332
899,10036
900,10016
901,10022
902,10281
903,10019
904,10023
905,10024
906,10028
907,10019
908,10003
909,10011
910,10065
911,11209
912,10001
913,11101
914,10001
915,10005
916,10009
917,10022
918,10003
919,10065
920,10016
921,10017
922,10119
923,10010
924,10075-0381
925,10111
926,10019
927,10003
928,10014
929,10037
930,11217
931,10037
932,10010
933,10065
934,10003
935,10019
936,10010
937,10018
938,11205
939,10001
940,10019
941,10011
942,10017
943,10002
944,11102
945,10119
946,10013
947,10031
948,10024
949,
950,10014
951,10119
952,10025
953,10013
954,10001
955,10011
956,10016
957,11211
958,10035
959,10003
960,10019
961,10035
962,10153
963,10001
964,10021
965,11371
966,10010
967,10001
968,11215
969,10005
970,10021
971,10019
972,10001-7604
973,10036
974,11430
975,10018
976,10014
977,10019
978,10017
979,10019
980,10009
981,10021
982,10012
983,10025
984,11222
985,10048
986,10010
987,10017
988,10001
989,10017
990,10012
991,10013
992,10013
993,11201
994,10019
995,10021
996,10001
997,10001
998,10019
999,10280
1000,10005
1001,10035
1002,100
1003,10021
1004,10014
1005,10153
1006,10018
1007,10010
1008,10128
1009,10023
1010,10040
1011,10040
1012,10003
1013,10035
1014,10003
1015,11369
1016,10128
1017,10001
1018,10028
1019,10002-1013
1020,10024
1021,10024
1022,10016
1023,10021
1024,10016
1025,10010
1026,10036
1027,10019
1028,10016
1029,
1030,10119
1031,10075
1032,10019
1033,10023
1034,10014-3621
1035,10028
1036,10011
1037,10010
1038,10001
1039,10162
1040,10035
1041,10001
1042,10018
1043,10016
1044,10021
1045,10022
1046,10026
1047,10014
1048,10128
1049,10011
1050,10065
1051,10019
1052,10155
1053,10024
1054,10010
1055,10035
1056,10022
1057,10011
1058,10280
1059,10019
1060,10024
1061,100
1062,10023-5104
1063,10021
1064,10007
1065,10011
1066,10028
1067,10016
1068,10025
1069,10019
1070,10075
1071,10003
1072,10023-7503
1073,10019
1074,10001
1075,10178
1076,10010
1077,10158-3650
1078,10023-6588
1079,11430
1080,10019
1081,10001
1082,10035
1083,10013
1084,10128
1085,10011-6832
1086,10017
1087,11371
1088,11101
1089,10011
1090,10018
1091,10003
1092,10021
1093,10011
1094,10035
1095,10001
1096,10036
1097,10025
1098,11201
1099,10011
1100,10065
1101,10023
1102,10075
1103,10028
1104,10017
1105,10016
1106,10022
1107,10003
1108,10023
1109,10028
1110,10022
1111,11371
1112,10016
1113,10111
1114,10019
1115,10014
1116,10001
1117,10035
1118,10003
1119,10014
1120,10279
1121,10014
1122,10021
1123,10016
1124,10013
1125,10022
1126,10002
1127,10028
1128,10019
1129,10075-0381
1130,10019
1131,10003
1132,10012-3332
1133,10026
1134,10111
1135,10014
1136,11371
1137,11370
1138,10017
1139,10003
1140,10065
1141,10075
1142,10013
1143,10038
1144,10007
1145,10011
1146,11231
1147,10024
1148,10128
1149,10019
1150,10001
1151,10019
1152,10017
1153,10001
1154,10019
1155,10003
1156,100036
1157,10119
1158,10280
