uber_pickup_zips,uber_rides_per_zip,uber_zip_proportion,green_taxi_pickup_zips_SHARED,green_taxi_rides_per_zip,green_taxi_zip_proportion,yellow_taxi_pickup_zips_SHARED,yellow_taxi_rides_per_zip,yellow_taxi_zip_proportion,taxi_COMBINED_rides_per_zip,taxi_COMBINED_zip_proportion,greater_zip_proportion_taxi_or_uber
11434,2,0.0001123406167,11434,84,0.001829786307,#N/A,0,0,84,0.000889218229,taxi
11435,8,0.000449362467,11435,359,0.007820158146,11435,8,0.0001647514313,367,0.003885036786,taxi
11436,5,0.0002808515419,11436,4,0.00008713268129,11436,11,0.000226533218,15,0.0001587889695,uber
11501,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11510,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11514,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11530,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11549,3,0.0001685109251,#N/A,0,0,#N/A,0,0,0,0,uber
11550,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
11563,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11568,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
11570,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
11576,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11581,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
11596,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11694,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11710,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11747,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11753,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11769,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11803,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
