uber_pickup_zips,uber_rides_per_zip,uber_zip_proportion,green_taxi_pickup_zips_SHARED,green_taxi_rides_per_zip,green_taxi_zip_proportion,yellow_taxi_pickup_zips_SHARED,yellow_taxi_rides_per_zip,yellow_taxi_zip_proportion,taxi_COMBINED_rides_per_zip,taxi_COMBINED_zip_proportion,greater_zip_proportion_taxi_or_uber
10006,48,0.002696174802,#N/A,0,0,10006,113,0.002327113967,113,0.001196210237,uber
10007,139,0.007807672864,10007,1,0.00002178317032,10007,192,0.003954034351,193,0.00204308474,uber
10009,460,0.02583834185,10009,1,0.00002178317032,10009,1078,0.02220025536,1079,0.01142221987,uber
10010,430,0.0241532326,10010,2,0.00004356634065,10010,1275,0.02625725936,1277,0.01351823427,uber
10011,922,0.05178902432,#N/A,0,0,10011,2172,0.04473001359,2172,0.02299264278,uber
10012,811,0.04555412009,#N/A,0,0,10012,1479,0.03045842086,1479,0.01565659239,uber
10013,842,0.04729539965,#N/A,0,0,10013,1135,0.02337410931,1135,0.01201503202,uber
10014,1259,0.07071841824,10014,5,0.0001089158516,10014,2510,0.05169076156,2515,0.02662361721,uber
10016,559,0.03139920238,#N/A,0,0,10016,2429,0.05002265332,2429,0.02571322712,uber
10017,323,0.01814300961,10017,3,0.00006534951097,10017,1389,0.02860496726,1392,0.01473561637,uber
10018,416,0.02336684828,10018,1,0.00002178317032,10018,1265,0.02605132007,1266,0.01340178902,uber
10019,1012,0.05684435208,10019,1,0.00002178317032,10019,3960,0.08155195848,3961,0.04193087387,uber
10020,6,0.0003370218502,#N/A,0,0,10020,41,0.0008443510853,41,0.0004340231832,taxi
10021,410,0.02302982643,10021,1,0.00002178317032,10021,1695,0.0349067095,1696,0.01795373948,uber
10022,575,0.03229792732,#N/A,0,0,10022,2020,0.0415997364,2020,0.02138358122,uber
10023,382,0.0214570578,10023,3,0.00006534951097,10023,1787,0.03680135096,1790,0.01894881702,uber
10024,223,0.01252597877,10024,3,0.00006534951097,10024,1192,0.02454796326,1195,0.0126501879,taxi
10025,144,0.008088524406,10025,608,0.01324416756,10025,1108,0.02281807323,1716,0.01816545811,taxi
10026,37,0.00207830141,10026,1071,0.02332977542,10026,98,0.002018205033,1169,0.01237495369,taxi
10027,63,0.003538729428,10027,2155,0.04694273205,10027,166,0.003418592199,2321,0.02456994654,taxi
10028,213,0.01196427568,10028,1,0.00002178317032,10028,1247,0.02568062935,1248,0.01321124226,taxi
10029,53,0.002977026344,10029,2058,0.04482976452,10029,252,0.005189670085,2310,0.0244535013,taxi
10030,10,0.0005617030837,10030,529,0.0115232971,10030,17,0.0003500967915,546,0.005779918488,taxi
10031,24,0.001348087401,10031,1132,0.02465854881,10031,68,0.001400387166,1200,0.01270311756,taxi
10032,17,0.0009548952424,10032,547,0.01191539417,10032,18,0.0003706907204,565,0.005981051183,taxi
10033,12,0.0006740437005,10033,471,0.01025987322,10033,11,0.000226533218,482,0.005102418885,taxi
10034,9,0.0005055327754,10034,281,0.006121070861,10034,17,0.0003500967915,298,0.003154607527,taxi
10035,183,0.01027916643,10035,1658,0.03611649639,10035,1119,0.02304460645,2777,0.02939713121,taxi
